,flight_id,iop,iop_date_local,nominal_altitude,sensor_aspirated,sensor_unaspirated,aspirated_start_time_utc,aspirated_end_time_utc,unaspirated_start_time_utc,unaspirated_end_time_utc,aspirated_stack_duration,unaspirated_stack_duration
174,63,19,6/1/23 0:00,235,X04,X07,6/1/23 19:15,6/1/23 19:21,6/1/23 19:12,6/1/23 19:21,5.8,9.25
175,64,19,6/1/23 0:00,235,X04,X07,6/1/23 19:43,6/1/23 19:57,6/1/23 19:43,6/1/23 19:57,13.516666666666667,13.583333333333334
176,65,19,6/1/23 0:00,235,X04,X07,6/1/23 22:56,6/1/23 23:09,6/1/23 22:56,6/1/23 23:09,12.733333333333333,12.75
177,66,19,6/1/23 0:00,235,X04,X07,6/2/23 0:09,6/2/23 0:26,6/2/23 0:09,6/2/23 0:26,17.333333333333332,17.316666666666666
178,62,19,6/1/23 0:00,350,X03,X06,6/1/23 18:48,6/1/23 19:01,6/1/23 18:48,6/1/23 19:01,12.416666666666666,12.433333333333334
179,63,19,6/1/23 0:00,350,X03,X06,6/1/23 19:12,6/1/23 19:21,6/1/23 19:12,6/1/23 19:21,9.216666666666667,9.2
180,64,19,6/1/23 0:00,350,X03,X06,6/1/23 19:43,6/1/23 19:57,6/1/23 19:43,6/1/23 19:57,13.466666666666667,13.5
181,65,19,6/1/23 0:00,350,X03,X06,6/1/23 22:56,6/1/23 23:09,6/1/23 22:56,6/1/23 23:09,12.6,12.566666666666666
182,66,19,6/1/23 0:00,350,X03,X06,6/2/23 0:09,6/2/23 0:26,6/2/23 0:09,6/2/23 0:26,17.2,17.183333333333334
183,67,20,6/2/23 0:00,120,X10,X01,6/2/23 18:14,6/2/23 18:22,,,8.216666666666667,
184,68,20,6/2/23 0:00,120,X10,X01,6/2/23 19:24,6/2/23 19:40,,,15.933333333333334,
185,69,20,6/2/23 0:00,120,X10,X01,6/2/23 23:44,6/2/23 23:57,,,13.466666666666667,
186,70,20,6/2/23 0:00,120,X10,X01,6/3/23 0:06,6/3/23 0:19,,,12.916666666666666,
187,67,20,6/2/23 0:00,235,X07,X09,6/2/23 18:14,6/2/23 18:26,6/2/23 18:14,6/2/23 18:26,12.316666666666666,12.35
188,68,20,6/2/23 0:00,235,X07,X09,6/2/23 19:24,6/2/23 19:40,6/2/23 19:24,6/2/23 19:40,15.683333333333334,15.7
189,69,20,6/2/23 0:00,235,X07,X09,6/2/23 23:44,6/2/23 23:57,6/2/23 23:44,6/2/23 23:57,13.3,13.283333333333333
190,70,20,6/2/23 0:00,235,X07,X09,6/3/23 0:06,6/3/23 0:19,6/3/23 0:06,6/3/23 0:19,12.583333333333334,12.583333333333334
191,67,20,6/2/23 0:00,350,X04,X05,6/2/23 18:14,6/2/23 18:26,6/2/23 18:14,6/2/23 18:26,12.133333333333333,12.15
192,68,20,6/2/23 0:00,350,X04,X05,6/2/23 19:25,6/2/23 19:40,6/2/23 19:25,6/2/23 19:40,15.45,15.516666666666667
193,69,20,6/2/23 0:00,350,X04,X05,6/2/23 23:44,6/2/23 23:57,6/2/23 23:44,6/2/23 23:57,13.216666666666667,13.233333333333333
194,70,20,6/2/23 0:00,350,X04,X05,6/3/23 0:06,6/3/23 0:19,6/3/23 0:06,6/3/23 0:19,12.583333333333334,12.616666666666667
195,71,21,6/6/23 0:00,235,X04,X07,6/6/23 21:45,6/6/23 21:53,6/6/23 21:42,6/6/23 21:53,8.083333333333334,11.366666666666667
196,71,21,6/6/23 0:00,350,X09,X06,6/6/23 21:42,6/6/23 21:53,6/6/23 21:42,6/6/23 21:53,11.483333333333333,11.5
197,71,21,6/6/23 0:00,120,X10,X01,6/6/23 21:42,6/6/23 21:53,,,11.6,
198,72,22,6/8/23 0:00,235,X10,,6/8/23 19:58,6/8/23 20:10,,,11.616666666666667,
199,73,22,6/8/23 0:00,235,X10,,6/8/23 22:40,6/8/23 22:54,,,14.416666666666666,
200,74,22,6/8/23 0:00,235,X10,,6/8/23 23:38,6/8/23 23:51,,,12.616666666666667,
201,72,22,6/8/23 0:00,350,X09,X05,6/8/23 19:59,6/8/23 20:10,6/8/23 19:59,6/8/23 20:10,10.816666666666666,10.816666666666666
202,73,22,6/8/23 0:00,350,X09,X05,6/8/23 22:40,6/8/23 22:54,6/8/23 22:40,6/8/23 22:54,14.15,14.3
203,74,22,6/8/23 0:00,350,X09,X05,6/8/23 23:38,6/8/23 23:50,6/8/23 23:38,6/8/23 23:50,12.316666666666666,12.316666666666666
