,flight_id,iop_date_local,iop,drone_name,flight_number_of_day,nominal_altitude,takeoff_time_local,landing_time_local,takeoff_time_utc,landing_time_utc,sensor_aspirated,sensor_unaspirated
148,56,2023-05-30,18,St,2,350,2023-05-30 16:14:00,2023-05-30 16:35:00,2023-05-30 22:14:00,2023-05-30 22:35:00,X03,X05
149,57,2023-05-30,18,St,3,350,2023-05-30 16:56:00,2023-05-30 17:19:00,2023-05-30 22:56:00,2023-05-30 23:19:00,X03,X05
150,58,2023-05-30,18,St,4,350,2023-05-30 17:38:00,2023-05-30 17:55:00,2023-05-30 23:38:00,2023-05-30 23:55:00,X03,X05
151,59,2023-05-30,18,St,5,350,2023-05-30 18:13:00,2023-05-30 18:32:00,2023-05-31 00:13:00,2023-05-31 00:32:00,X03,X05
152,60,2023-05-30,18,St,6,350,2023-05-30 19:15:00,2023-05-30 19:32:00,2023-05-31 01:15:00,2023-05-31 01:32:00,X03,X05
153,61,2023-05-30,18,St,7,350,2023-05-30 19:46:00,2023-05-30 20:00:00,2023-05-31 01:46:00,2023-05-31 02:00:00,X03,X05
154,55,2023-05-30,18,Ac,1,235,2023-05-30 12:36:00,2023-05-30 12:55:00,2023-05-30 18:36:00,2023-05-30 18:55:00,X01,X10
155,56,2023-05-30,18,Ac,2,235,2023-05-30 16:14:00,2023-05-30 16:35:00,2023-05-30 22:14:00,2023-05-30 22:35:00,X01,X10
156,57,2023-05-30,18,Ac,3,235,2023-05-30 16:57:00,2023-05-30 17:19:00,2023-05-30 22:57:00,2023-05-30 23:19:00,X01,X10
157,58,2023-05-30,18,Ac,4,235,2023-05-30 17:38:00,2023-05-30 17:55:00,2023-05-30 23:38:00,2023-05-30 23:55:00,X01,X10
158,59,2023-05-30,18,Ac,5,235,2023-05-30 18:14:00,2023-05-30 18:32:00,2023-05-31 00:14:00,2023-05-31 00:32:00,X01,X10
159,60,2023-05-30,18,Ac,6,235,2023-05-30 19:15:00,2023-05-30 19:32:00,2023-05-31 01:15:00,2023-05-31 01:32:00,X01,X10
